timestamp,dem_major,dem_semester,dem_gpa,dem_residence,hap_general_satisfaction,hap_school_energy,hap_meaningful_life,hap_loyalty_choice,aca_curriculum_fit,aca_deadline_pressure,aca_teaching_quality,aca_lms_stability,env_facilities,env_utilities,env_dynamic_culture,soc_friendship_support,soc_activity_integration,soc_family_support,fin_tuition_value,fin_living_cost_worry,fin_job_prospects,wish
2026-01-20 10:01:33,Ngành Công Nghệ Thông Tin,5,8.5,Ở với gia đình,4,3,4,4,4,3,3,2,2,3,4,5,3,4,3,2,3,
2026-01-20 10:14:55,Thiết kế đồ họa,5,8.5,KTX,4,2,2,1,3,3,4,2,4,3,4,3,2,4,3,3,1,"trường bớt drama lại. ngoại trừ việc dạy kiến thức thì muốn trường dạy luôn cách làm người. Một con sâu làm rầu nồi canh, một con sâu có thể ngầm phá hủy cmn một tương lai của một người.  Và hiệu ứng đám đông ở trường tôi thấy kha khá, một con chó sủa thì những con chó khác sẽ hùa theo sủa mà không biết có chuyện gì, thật là..."
2026-01-20 11:41:38,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,3,4,3,3,3,2,4,3,2,3,3,4,3,4,3,1,3,
2026-01-20 11:42:55,Khác,5,8.5,Ở với gia đình,4,4,5,5,5,2,3,3,5,3,4,5,2,5,2,2,3,Trường siết chặt hơn về đánh giá năng lực của sinh viên từ đó cho điểm phù hợp hơn
2026-01-20 12:37:45,Ngành Công Nghệ Thông Tin,5,9.5,Ở với gia đình,5,5,4,4,3,2,4,2,4,4,4,4,3,5,4,3,4,Có nhiều cuộc thi hơn cho ngành cntt nói chung và ngành xldl nói riêng. Để tạo cơ hội cho sinh viên được thử sức với dự án thực tế.
2026-01-20 01:29:37,Ngành Công Nghệ Thông Tin,5,9.5,Ở trọ,1,2,5,5,4,3,5,1,2,2,5,5,5,5,1,1,1,
2026-01-20 02:58:32,Quản Trị Kinh Doanh & Marketing,5,8.5,Ở với gia đình,5,3,4,4,4,3,3,2,4,3,4,4,4,4,2,4,3,hem bit
2026-01-20 03:34:19,Thiết kế đồ họa,5,4.5,Ở trọ,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,1,3,ước gì học phí ít hơn
2026-01-20 08:52:20,Ngành Công Nghệ Thông Tin,8,7.5,Ở với gia đình,4,4,3,3,4,3,4,3,5,3,4,4,4,3,3,3,3,"Việc xếp lịch học có chút bất tiện khi thường xuyên bị nghẽ giờ cao điểm, khiến sinh viên không chọn được giờ học như ý nhất và kèm theo đó khi sinh viên nhớ nhằm ngày đổi lịch học thì qua hôm sau đã không thể đổi nữa vì lớp đã đạt giới hạn tối thiểu. Em mong trường tìm cách khắc phục, xin cảm ơn"
2026-01-21 10:58:54,Ngành Công Nghệ Thông Tin,5,8.5,Ở trọ,4,4,5,2,4,4,4,2,4,4,5,5,4,5,5,3,4,"Nếu điều ước có thể thực hóa, thì thật sự rất mong mỗi người trong cộng đồng sinh viên đều ăn ngon, vui cười, ước cho mỗi một người có mục tiêu rõ ràng, để có cơ hội tìm một tần số phù hợp để cùng tiến và tìm thầy niềm vui cuộc sống mỗi ngày, không bị sa đọa stress vì mất phương hướng. Hạnh phúc không phải cơ bản vật chất mà còn do chính bản thân có sự lựa chọn không hối hận, đó là sự kiện tuyệt vời nhất trong đời mỗi người vì có tính tự quyết."
2026-01-21 11:15:27,Logistics & Y tế,8,8.5,Nhà riêng,2,1,2,1,1,5,3,1,1,1,3,5,1,5,1,1,1,"hihi hoan hỉ hoan hỉ , hòa khí sinh tài , chuyện lớn hóa nhỏ , chuyện nhỏ hóa không , 1 người làm, cả nhóm vui"
2026-01-22 03:11:45,Ngành Công Nghệ Thông Tin,4,6.5,Ở với gia đình,4,5,4,4,4,3,4,4,4,4,4,4,4,5,4,5,4,Ước ai cũng có việc làm khi ra trường 
2026-01-22 03:12:32,Thiết kế đồ họa,4,7.5,KTX,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,2,4,"Mọi người hòa đồng , vui vẻ, thầy cô gần gũi"
2026-01-22 03:12:48,Công nghệ kỹ thuật – Cơ khí – Điện tử,5,6.5,Ở trọ,4,5,4,5,5,4,4,4,5,4,4,5,4,5,4,3,5,"Sinh viên được học đúng điều mình thích, đúng điều doanh nghiệp cần để ai cũng có việc làm tốt"
2026-01-22 03:13:58,Thiết kế đồ họa,3,5.5,Ở với gia đình,3,4,5,4,4,3,4,4,4,5,4,3,3,3,4,2,3,Nhiều hoạt động ngoại khoá
2026-01-22 03:14:48,Quản Trị Kinh Doanh & Marketing,3,5.5,Ở trọ,4,5,4,4,4,3,4,4,4,4,4,4,4,5,4,2,4,Mau ra trường kiếm có việc làm 
2026-01-22 03:15:38,Ngành Công Nghệ Thông Tin,3,8.5,Ở trọ,5,4,5,4,5,3,4,5,4,5,4,2,4,5,4,2,4,"đúng với ngành và đam mê của mình , ít áp lực vô nghĩa hơn, nhiều trải nghiệm có giá trị hơn.Thầy cô gần gũi, lắng nghe sinh viên"
2026-01-22 03:16:26,Ngành Công Nghệ Thông Tin,2,8.5,Ở trọ,4,4,4,5,5,4,4,4,4,4,5,5,4,5,4,3,5,tăng cơ hội có việc làm khi tốt nghiệp
2026-01-22 03:17:05,Du lịch – Nhà hàng – Khách sạn,3,6.5,Ở với gia đình,4,4,4,5,4,4,5,4,4,4,5,4,5,5,4,4,4,"mình cũng ước đơn giản thôi à, ước nhà trường có nhiều hơn nữa các buổi thực hành tại doanh nghiệp hoặc các chuyến đi tour thực tế thay vì học lý thuyết trong phòng máy lạnh. Ngành của mình thì mình thích nhất là va chạm thực tế, nếu được đi nhiều và trải nghiệm môi trường khách sạn thực tế nhiều hơn, bảnthân mình sẽ cảm thấy hứng thú và hạnh phúc hơn với ngành mình đã chọn. "
2026-01-22 03:18:49,Quản Trị Kinh Doanh & Marketing,3,7.5,KTX,4,5,4,5,5,3,4,5,5,5,4,5,5,5,4,3,3,"Nếu có một điều ước để làm sinh viên FPoly hạnh phúc hơn, thì mình ước sinh viên FPoly luôn được học trong môi trường truyền cảm hứng và gần gũi hơn nữa"
2026-01-22 03:19:21,Ngành Công Nghệ Thông Tin,4,7.5,KTX,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,Có thêm hoạt động ngoại khóa 
2026-01-22 03:22:17,Công nghệ kỹ thuật – Cơ khí – Điện tử,4,5.5,KTX,4,5,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4,Có nhiều cơ hội tìm việc làm 
2026-01-22 03:23:27,Quản Trị Kinh Doanh & Marketing,4,8.5,Ở với gia đình,4,4,4,5,4,4,4,4,5,5,4,4,4,5,4,3,4,Tôi muốn có thêm nhiều hoạt động ngoại khóa để học hỏi thêm 
2026-01-22 03:35:23,Du lịch – Nhà hàng – Khách sạn,1,4.5,Ở trọ,2,4,4,4,3,3,4,4,4,3,3,3,3,4,4,2,3,Học phí thấp
2026-01-22 03:44:09,Ngành Công Nghệ Thông Tin,4,6.5,Ở trọ,4,3,4,4,4,2,3,4,4,3,4,4,3,4,3,2,4,"Mong trường giãn bớt mật độ deadline, tối ưu lịch học – lịch nộp bài hợp lý hơn để sinh viên đỡ burnout, có thêm thời gian self-study, làm project cá nhân và cân bằng cuộc sống."
2026-01-22 03:45:59,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,4,4,4,3,5,4,4,3,4,4,4,4,4,5,4,3,4,tặng tiền:)))
2026-01-22 03:54:28,Quản Trị Kinh Doanh & Marketing,3,6.5,Ở trọ,3,4,4,3,4,3,4,4,5,4,4,5,3,4,4,3,4,Mong muốn được có nhiều trải nghiệm thực tế thú vị hơn nữa cùng với bạn bè và thầy cô
2026-01-22 04:00:22,Thiết kế đồ họa,5,5.5,Ở trọ,3,3,3,4,3,3,4,3,4,3,3,4,3,4,3,1,3,Giảm học phí
2026-01-22 04:40:06,Thiết kế đồ họa,5,7.5,Ở trọ,4,3,5,3,4,3,5,3,5,3,5,5,3,5,3,3,4,ít deadline lại =))
2026-01-22 04:50:21,Ngành Công Nghệ Thông Tin,5,7.5,Ở với gia đình,4,4,4,3,3,3,5,3,5,4,5,5,5,5,5,3,4,Uớc mọi người khi bảo vệ môn đều được 10 điểm 
2026-01-22 04:51:22,Công nghệ kỹ thuật – Cơ khí – Điện tử,4,7.5,Ở trọ,4,3,4,4,4,4,5,4,4,4,4,5,4,5,4,3,4,"Tổ chức nhiều hơn các hoạt động tập thể, phát triển các câu lạc bộ trong trường"
2026-01-22 04:54:19,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,4,3,4,4,3,1,3,4,4,4,4,4,4,3,4,3,3,Tôi được nhiều phúc lợi và học bổng được thêm cho nhiều người hơn
2026-01-22 04:54:40,Ngành Công Nghệ Thông Tin,5,8.5,Ở với gia đình,4,3,3,3,3,2,3,3,4,2,4,4,3,4,3,2,3,
2026-01-22 04:55:43,Ngành Công Nghệ Thông Tin,5,9.5,Ở với gia đình,3,5,5,4,4,4,3,4,4,3,4,3,3,4,3,3,3,Ước mỗi sinh viên sau tết được giảm 50% học phí ạ :))
2026-01-22 05:10:51,Thiết kế đồ họa,5,6.5,Ở trọ,4,3,4,3,4,3,4,2,4,3,4,4,4,4,3,2,4,Ko bt 
2026-01-22 05:33:35,Ngành Công Nghệ Thông Tin,5,7.5,Ở với gia đình,3,2,3,2,3,2,2,2,4,2,4,3,3,2,3,2,1,tôi ước ngay từ đầu mình nên có được mục tiêu và xác định rõ cơ hội nghề nghiệp để không vào Fpoly chỉ vì hết hạn đăng kí nguyện vọng Đại Học 
2026-01-22 05:35:43,Logistics & Y tế,5,9.5,Ở với gia đình,2,3,4,3,4,2,4,4,4,3,4,4,4,5,3,2,3,Mong muốn sinh viên nhẹ bớt áp lực trên vai và đừng bao giờ bỏ cuộc 
2026-01-22 05:39:49,Thiết kế đồ họa,5,7.5,Ở với gia đình,4,4,4,4,4,3,4,2,3,3,4,4,3,5,4,3,4,
2026-01-22 05:49:09,Ngành Công Nghệ Thông Tin,5,6.5,Ở với gia đình,3,2,3,1,3,2,1,3,3,3,4,4,2,4,2,2,1,
2026-01-22 06:09:58,Quản Trị Kinh Doanh & Marketing,6,6.5,Ở trọ,4,4,5,4,4,3,4,4,4,5,5,4,4,5,4,1,4,"Không bị nợ môn, rớt môn học, ra trường tìm được việc có thu nhập ổn định và khá tốt"
2026-01-22 06:14:54,Ngành Công Nghệ Thông Tin,2,7.5,Ở trọ,5,4,5,4,4,4,5,4,5,5,4,4,3,5,4,4,4,Học bổng nhiều lên
2026-01-22 06:49:59,Quản Trị Kinh Doanh & Marketing,8,8.5,Ở trọ,3,4,3,4,3,1,3,2,4,4,2,4,2,5,2,1,3,Bớt deadline lại đi em sắp đin đin khùng khùng rồi 🥹
2026-01-22 07:23:34,Logistics & Y tế,1,6.5,Ở với gia đình,5,4,3,3,3,2,4,4,4,4,4,4,4,4,4,1,4,"tôi ước mỗi sinh viên FPoly sẽ sở hữu một ""Siêu năng lực cân bằng"
2026-01-22 08:31:48,Ngành Công Nghệ Thông Tin,5,9.5,Ở trọ,2,3,3,3,4,3,3,2,3,2,3,4,2,4,2,3,3,lì xì tết cho toàn bộ sv
2026-01-22 08:35:05,Công nghệ kỹ thuật – Cơ khí – Điện tử,2,8.5,Ở trọ,4,4,5,5,5,3,4,5,5,4,4,4,4,5,4,3,5,Chương trình ghép đôi cho sinh viên ăn tết có ny
2026-01-22 10:38:01,Ngành Công Nghệ Thông Tin,5,9.5,Ở trọ,5,4,5,5,5,5,3,3,4,4,5,4,5,4,3,3,4,Không có
2026-01-22 11:09:26,Ngành Công Nghệ Thông Tin,2,7.5,Ở trọ,4,5,4,5,5,4,4,4,5,5,5,5,4,5,4,2,5,"Mặc dù trường cam kết hơn 97% sinh viên có việc làm sau tốt nghiệp, việc có thêm nhiều cơ hội kết nối với doanh nghiệp ngay trong quá trình học tập vẫn là mối quan tâm của tôi, để có thêm những kỹ năng làm việc cần thiết "
2026-01-22 11:12:32,Quản Trị Kinh Doanh & Marketing,4,8.5,Ở với gia đình,5,5,5,5,4,3,4,4,5,4,4,5,5,5,4,3,4,"Tôi mong chương trình học thực tế hơn, giảm lý thuyết nặng, tăng thời gian thực hành và trải nghiệm dự án"
2026-01-22 11:15:17,Công nghệ kỹ thuật – Cơ khí – Điện tử,2,8.5,KTX,4,4,5,5,4,2,5,4,5,4,4,4,5,4,4,2,5,"Mong giảng viên thân thiện hơn, hỗ trợ sinh viên nhiều hơn và giải thích bài dễ hiểu hơn"
2026-01-22 11:18:32,Quản Trị Kinh Doanh & Marketing,2,8.5,Nhà riêng,5,5,4,5,5,3,4,4,5,4,4,4,4,4,4,3,5,"Mong nhà trường cải thiện cả cơ sở vật chất, chất lượng giảng dạy và môi trường học tập để sinh viên cảm thấy thoải mái và hạnh phúc hơn."
2026-01-23 10:07:31,Ngành Công Nghệ Thông Tin,4,7.5,Ở trọ,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,Đều thành công trong mọi việc
2026-01-24 03:49:59,Quản Trị Kinh Doanh & Marketing,3,7.5,Ở với gia đình,5,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,Học phí giảm
2026-01-24 07:28:49,Logistics & Y tế,3,4.5,Ở với gia đình,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,Có nhiều hơn những chương trình văn nghệ giải toả bớt căng thẳng 
2026-01-27 11:22:28,Thiết kế đồ họa,5,7.5,Ở trọ,3,3,3,3,3,2,5,3,5,4,4,4,3,4,3,1,3,
2026-01-27 11:24:39,Thiết kế đồ họa,5,8.5,Ở với gia đình,5,5,5,2,1,3,4,2,3,3,3,2,3,3,2,3,3,
2026-01-28 11:05:34,Quản Trị Kinh Doanh & Marketing,2,7.5,Ở với gia đình,5,5,5,4,4,2,5,4,5,5,5,5,5,5,4,1,4,Đc phát nhiều vé tham gia sự kiện giống hobby
2026-01-28 11:19:00,Ngành Công Nghệ Thông Tin,5,6.5,Ở trọ,4,3,4,3,2,2,4,4,2,2,4,4,4,5,3,2,3,ước được điểm cao
2026-01-28 11:31:11,Thiết kế đồ họa,1,5.5,Ở với gia đình,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,học miễn phí
2026-01-28 11:37:53,Ngành Công Nghệ Thông Tin,3,7.5,Ở trọ,3,3,3,3,4,4,4,2,4,3,3,3,3,4,3,3,3,
2026-01-28 11:38:26,Thiết kế đồ họa,2,8.5,Ở với gia đình,3,3,4,4,4,3,3,3,3,3,4,4,3,3,4,3,3,"Nhiều cơ hội hơn, deadline đừng dồn nhiều quá  "
2026-01-28 11:38:33,Thiết kế đồ họa,5,7.5,Nhà riêng,5,4,3,1,5,4,3,1,2,3,4,4,3,5,3,2,3,"wifi mạnh hơn, có máy lọc nước :))"
2026-01-28 11:41:51,Quản Trị Kinh Doanh & Marketing,6,9.5,Ở với gia đình,5,3,4,3,4,3,4,2,2,3,4,3,3,5,3,4,4,Giảm deadline để bớt áp lực 
2026-01-28 11:41:53,Công nghệ kỹ thuật – Cơ khí – Điện tử,2,6.5,Ở trọ,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,1,5,
2026-01-28 11:43:31,Quản Trị Kinh Doanh & Marketing,3,7.5,Ở trọ,4,4,4,4,4,3,4,3,3,4,4,4,3,4,3,3,3,
2026-01-28 11:46:32,Khác,2,6.5,Ở trọ,4,3,3,3,2,2,3,2,4,3,5,3,3,5,4,1,3,"Wifi mạnh hơn, và cho nhiều hơn 1 thiết bị đăng nhập"
2026-01-28 11:46:54,Ngành Công Nghệ Thông Tin,5,8.5,Ở với gia đình,3,2,3,2,3,2,3,1,3,3,3,3,2,4,3,3,2,
2026-01-28 11:46:59,Ngành Công Nghệ Thông Tin,5,8.5,Ở trọ,5,3,4,3,5,1,3,1,5,3,4,4,2,4,3,2,3,Tốt nghiệp có việc ngay
2026-01-28 11:50:35,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,3,4,5,3,2,1,5,5,5,5,5,5,5,5,5,1,5,tui ước tui trúng 100k 
2026-01-28 11:52:49,Ngành Công Nghệ Thông Tin,5,8.5,Ở trọ,3,3,4,4,4,3,3,3,4,2,4,2,2,5,3,3,4,Thêm thang máy
2026-01-28 11:52:54,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,4,3,3,2,4,3,3,2,4,4,4,3,3,4,3,3,3,
2026-01-28 11:54:38,Thiết kế đồ họa,5,9.5,Ở với gia đình,1,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,Chưa có
2026-01-28 11:54:49,Thiết kế đồ họa,2,7.5,Ở với gia đình,3,1,3,3,5,2,4,4,4,2,4,4,3,3,3,4,3,"Đồ ăn căn tin rẻ hơn, bớt bài lab"
2026-01-28 11:55:08,Thiết kế đồ họa,5,6.5,Ở với gia đình,1,3,3,3,3,3,5,3,1,3,3,5,3,3,3,2,3,Trở thành sinh viên xuất sắc 1 lần
2026-01-28 11:58:37,Ngành Công Nghệ Thông Tin,5,9.5,Nhà riêng,5,3,3,4,4,2,5,3,5,5,5,5,2,3,4,2,2,"ra trường có nhà tuyển dụng hốt thực tập, rồi đạo tạo làm chính thức lương trung bình"
2026-01-28 12:03:05,Công nghệ kỹ thuật – Cơ khí – Điện tử,1,7.5,Ở trọ,3,4,4,4,4,1,3,4,5,5,5,5,4,5,5,3,4,Thêm 1000 điều ước nữa
2026-01-28 12:04:00,Quản Trị Kinh Doanh & Marketing,2,5.5,Ở trọ,4,3,4,3,4,2,4,3,3,4,4,2,3,4,3,1,4,Ước được thêm 2 điều nữa =)))
2026-01-28 12:04:13,Quản Trị Kinh Doanh & Marketing,5,6.5,Ở với gia đình,5,4,4,3,4,2,4,4,4,2,4,5,4,4,4,3,3,Ước gi thầy cô cho điểm dễ hơn nữa 
2026-01-28 12:04:59,Quản Trị Kinh Doanh & Marketing,2,7.5,Nhà riêng,5,5,5,3,3,3,4,3,3,3,3,1,3,4,2,5,1,ước giàu
2026-01-28 12:06:18,Thiết kế đồ họa,2,6.5,Ở với gia đình,3,3,4,4,4,3,4,3,4,3,3,4,3,4,3,3,3,
2026-01-28 12:06:47,Thiết kế đồ họa,2,8.5,Ở với gia đình,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Ước có nhiều thời gian nói chuyện với bạn bè hơn
2026-01-28 12:07:09,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,3,3,3,3,3,2,4,4,4,3,4,4,3,4,2,2,3,Giảm bớt Deadline 
2026-01-28 12:07:24,Quản Trị Kinh Doanh & Marketing,2,8.5,Ở trọ,4,3,4,3,4,1,4,3,5,3,4,5,5,5,3,1,3,"thang máy hoạt động linh hoạt hơn bởi nhiều lần đi trễ do thang máy, và nên tạo các chuyến đi trãi nghiệm để sinh viên và giảng viên gắn kết hơn"
2026-01-28 12:14:58,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở với gia đình,5,4,4,5,4,1,5,2,5,3,3,5,1,4,3,5,5,tết có lì xì keke
2026-01-28 12:15:22,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,5,5,5,5,5,3,4,3,3,3,4,5,4,5,3,3,4,tôi ước wifi của trường có thể mạnh hơn
2026-01-28 12:16:52,Thiết kế đồ họa,2,6.5,Ở trọ,4,4,3,5,3,2,3,2,3,4,5,5,4,4,3,2,4,Giảm học phí 
2026-01-28 12:20:19,Ngành Công Nghệ Thông Tin,4,7.5,Ở trọ,3,4,4,4,4,3,5,4,5,3,4,5,5,4,3,1,3,"Thường xuyên mở các workshop, các buổi luận, hội thảo trao đổi và chia sẽ kỹ năng, kinh nghiệm"
2026-01-28 12:27:21,Ngành Công Nghệ Thông Tin,4,8.5,Ở trọ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Có căn tin thì tốt
2026-01-28 12:29:00,Thiết kế đồ họa,2,8.5,Ở trọ,5,2,4,4,3,2,1,1,1,1,1,1,3,1,3,3,3,
2026-01-28 12:33:19,Thiết kế đồ họa,5,8.5,KTX,5,5,3,3,5,3,3,4,3,4,4,3,3,3,4,2,3,Wifi tốt hơn
2026-01-28 12:33:55,Logistics & Y tế,5,7.5,Ở trọ,4,4,3,2,3,2,3,4,4,4,4,4,2,4,4,3,3,Giảm deadline 
2026-01-28 12:42:23,Thiết kế đồ họa,5,7.5,Ở trọ,3,1,1,3,4,3,3,1,3,2,4,1,1,1,3,2,1,"nhiều tháng máy hơn, mở canteen"
2026-01-28 12:43:17,Thiết kế đồ họa,5,7.5,Ở với gia đình,3,3,4,3,4,1,4,1,3,3,5,5,3,3,3,3,3,"Có thêm căn tin, có mạng cho điện thoại , có thêm thang máy!!!"
2026-01-28 12:48:37,Quản Trị Kinh Doanh & Marketing,2,8.5,Ở với gia đình,5,5,4,3,4,3,5,2,3,4,3,4,4,5,5,3,3,Hong có
2026-01-28 12:48:40,Thiết kế đồ họa,5,7.5,KTX,5,4,5,3,5,3,4,3,3,3,4,5,4,5,5,3,4,Cơ sở vật chất của trường tốt hơn 1 chút
2026-01-28 12:50:09,Thiết kế đồ họa,5,8.5,Ở với gia đình,4,5,4,5,5,2,3,2,4,2,4,5,4,5,2,1,3,Giảm học phí hoặc có nhiều chương trình học bổng  dành cho sv
2026-01-28 12:58:41,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,Wf của trường mạnh hơn ☺️
2026-01-29 11:54:17,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,3,3,3,2,4,3,4,3,4,3,3,3,3,3,3,2,3,Không có
2026-01-29 11:54:38,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,3,3,3,3,3,2,3,2,5,2,4,3,3,4,4,3,3,
2026-01-29 11:55:03,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở với gia đình,5,4,4,4,3,3,5,2,3,4,5,3,4,5,5,3,4,Number one
2026-01-29 11:57:18,Thiết kế đồ họa,5,8.5,Ở trọ,2,1,3,1,1,5,1,1,1,1,3,4,1,5,1,3,1,Tôi ước thay đổi chương trình dạy học
2026-01-29 11:58:21,Logistics & Y tế,2,7.5,Nhà riêng,5,4,5,5,5,2,5,3,4,4,4,3,3,5,5,2,3,
2026-01-29 11:58:48,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,4,4,4,4,4,2,4,5,3,3,4,5,3,4,4,3,4,Ước ít deadline 
2026-01-29 11:59:45,Logistics & Y tế,2,8.5,Ở với gia đình,4,2,2,2,3,1,2,1,2,3,2,2,3,3,2,4,3,ước ko bị dí dealine
2026-01-29 12:00:36,Logistics & Y tế,2,8.5,Ở trọ,4,3,3,3,3,1,1,1,3,1,3,3,3,4,1,3,2,
2026-01-29 12:01:38,Logistics & Y tế,2,9.5,Ở với gia đình,5,4,4,3,3,1,4,4,4,4,5,4,3,4,4,2,4,ít deadline lại
2026-01-29 12:01:52,Quản Trị Kinh Doanh & Marketing,5,7.5,Ở trọ,4,5,5,5,5,3,4,3,4,4,4,4,5,4,5,3,3,Chắc là giảm học phí :)))
2026-01-29 12:05:41,Logistics & Y tế,2,6.5,Ở với gia đình,4,3,3,4,3,2,3,2,2,2,3,2,2,4,2,2,2,ước tiền ít thầy cô dạy tận tình hơn
2026-01-29 12:06:05,Ngành Công Nghệ Thông Tin,2,9.5,Ở trọ,3,3,3,5,3,1,5,2,2,1,4,5,5,4,5,1,3,Tôi ước thang máy đi nhanh hơn sắp xếp các môn học hợp lí hơn
2026-01-29 12:06:31,Ngành Công Nghệ Thông Tin,2,8.5,Ở với gia đình,4,4,4,4,4,2,5,3,3,4,4,5,4,5,4,3,3,Thang máy đi nhanh hơn 
2026-01-29 12:13:04,Khác,5,5.5,Ở trọ,3,3,3,2,4,2,2,2,2,4,4,3,2,4,3,2,3,
2026-01-29 12:14:13,Ngôn ngữ,2,7.5,Ở trọ,3,2,3,3,3,3,2,3,4,4,5,5,3,5,3,1,3,được nhận lì xì siu to péo của trường FPoly ( con số được tính từ 100k-> lớn hơn :)
2026-01-29 12:18:02,Khác,2,9.5,Ở với gia đình,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,3,3,
2026-01-29 12:22:30,Quản Trị Kinh Doanh & Marketing,4,8.5,Ở với gia đình,5,3,5,2,5,1,4,5,3,5,5,5,5,5,1,1,4,Học phí tương ứng với chất lượng hoc
